vat,ragione,pec
02455770798,ABRAMO CUSTOMER CARE,amministrazionecustomercare@pec.abramoholding.it
00166800797,ABRAMO PRINTING & LOGISTICS,amministrazioneprintinglogistics@pec.abramoholding.it
02081881209,ACANTHO S.P.A.,acantho@pec.gruppohera.it
01883740647,ACCA SOFTWARE SPA,acca@pec.it
00672420171,ACCA SPA,acca-spa@legalmail.it
013454210157,ACCENTURE S.P.A.,
03917140653,ACCERTA SPA,accertaspa@infopec.net
04284731009,ACEA ENGINEERING LABORATORIES RESEARCH INNOVATION SOCIETA' PER AZIONI,aceainfrastructure@pec.aceaspa.it
05059960012,ACEA PINEROLESE INDUSTRIALE SPA,acea@postacert.aceapinerolese.it
00930530324,ACEGASAPSAMGA S.P.A.,acegasapsamga_ts@cert.acegasapsamga.it
00882300346,ACEL SPA,acel@pec.acel.biz
02394170415,ACEMA SPA,acema@legalmail.it
08416880154,ACENTRO TURISMO SPA,acentro@legalmail.it
02519540393,ACG S.P.A.,acgspa@facilepec.com
012593590156,ACI BLUETEAM S.P.A,
08242390014,ACI GLOBAL SERVIZI S.P.A.,aciglobalservizi@pec.net
00941291007,ACI VALLELUNGA S.P.A.,acivallelunga@pec.it
04794510729,ACMEI SUD,acmei@pec.trustedmail.intesa.it
02664460165,ACQUATICA SPA,acquatica@pec.it
03792180980,ACQUAVIVA SPA SOCIETA' BENEFIT AZIONISTA UNICO,acquavivasrl@pec-societa.it
00891651002,ACQUE ALBULE,acquealbulespa@lamiapec.it
04629771215,ACRO TEXTURE SPA,direzionegenerale@acrotexture.eu
00701430217,ACS DATA SYSTEMS,info@pec.acs.it
05847860151,ACS DOBFAR SPA,amministrazione@pec.acsdobfar.it
03358520967,ACTALIS S.P.A.,amministrazione@pec.actalis.it
01599530563,ACTIVE NETWORK SPA,activenetwork@pec.it
03410070365,AD CONSULTING SPA,adconsultingspa@pec.it
08228281005,AD MOVING,admoving@pec.autostrade.it
00888921004,ADAPTA,adaptaspa@legalmail.it
02319580342,ADE S.P.A.,adespa@legalmail.it
013366030156,ADECCO ITALIA S.P.A.,
02718431204,ADHR GROUP - AGENZIA PER IL LAVORO S.P.A.,adhrspa@pec.it
04230230486,ADIACENT S.P.A. SOCIETÃ_x0080_ BENEFIT,01010500500@pec.leonet.it
07777350633,ADIRAMEF,adiramef@legalmail.it
04137280964,ADITINET CONSULTING,aditinetconsulting@pec.it
02348611209,ADLER ORTHO S.P.A.,info@pec.adlerortho.com
00897471009,ADNKRONOS SPA UNIPERSONALE,adnkronos@legalmail.it
015913421002,ADR INFRASTRUTTURE S.P.A,
00101330447,ADRIATICA BITUMI S.P.A.,adriaticabitumi@postcert.it
00890370372,ADS AUTOMATED DATA SYSTEMS,ads.pec@legalmail.it
01692340035,ADVANCED GLOBAL SOLUTION A.G.S. S.P.A.,amministrazione.ags@pec.ags-it.com
0000SM04649,ADVANCED MEDICAL SUPPLIES S.P.A,
03743021218,ADVANCED SYSTEMS SPA,advancedsystems@pec.it
012561310157,ADVANCED TECHNOLOGIES S.P.A.,
01647260163,ADVANCING TRADE SPA,advtrade@legalmail.it
010388820150,AECOM ITALIA,
07853981210,AEFFE,aeffespa@pec.aeffespa.it
01290191004,AEM ACOTEL ENGINEERING AND MANUFACTURING S.P.A.,segreteria@pec.aem.net
01890090366,AERAUTODROMO MODENA SPA,aerautodromo.modena.spa@legalmail.it
09951990150,AEREA S.P.A.,aereaspa@legalmail.it
00234050235,AERMEC  S.P.A.,amministrazione@pec.aermec.com
02854000243,AEROPORTO DI ASIAGO SPA,aeroportodiasiagospa@legalmail.it
00648210987,AEROTECNICA COLTRI S.P.A.,aerotecnicacoltri@pec.it
01941340976,AESSE MEDICAL,aessemedical@legalmail.it
00138200316,AFICURCI SPA BROKER DI ASSICURAZIONE,aficurci@pec.gruppoaficurci.it
07019780159,AFTI SPA,afti@pec.it
09568760962,AG DIGITAL MEDIA SPA,agdigitalmedia@legalmail.it
00893701003,AGENZIA GIORNALISTICA ITALIA,agi@pec.agi.it
08517490960,AGENZIA PER IL LAVORO OSMOSI SPA,osmosi@legalmail.it
08477970969,AGENZIA YES! S.P.A.,agenziayes.spa@pec.it
06390410964,AGENZIAPIU',info@pec.agenziapiu.com
00389000811,AGESP,agespspa@pec.agespspa.it
00873670152,AGFA GEVAERT S.P.A.,agfagevaert@agfahe.telecompost.it
012785290151,AGILENT TECHNOLOGIES ITALIA SPA,
06170180019,AGN ENERGIA SPA,agnenergiaspa@pec.it
00343650131,AGOMIR SPA,agomir@agomirpec.it
01474790308,AGRARIA ZANIN S.P.A.,postacertificata@pec.agrariazanin.com
00995861002,AGRICONSULTING S.P.A.,agriconsulting@pec.agriconsulting.it
011967520013,AGRICOOLTUR S.P.A.,
01359680517,AGRIMACCHINE DI SERAFINI S.P.A.,agrimacchine@unicapec.it
00097400212,AGROCHIMICA,agrochimica@gigapec.it
01152200018,AGROLABO SPA,agrolabo@allpec.it
07616151218,AGROLEGUMI SPA,agrolegumi@pec.it
05053521000,AGROQUALITA' S.P.A.,rinaagrifood@legalmail.it
02968430237,AGSM AIM ENERGIA S.P.A.,energia@pec.agsmaim.it
00964281000,AGT SPA,agtinternational@legalmail.it
00040220311,AGUZZONI SPA,aguzzoni.spa@legalmail.it
01907030389,AHRCOS S.R.L.,postmaster@pec.ahrcos.it
02481080964,AHSI,ahsi@pec.it
02144650484,AICOM S.P.A.,aicom.valdarno@pec.it
00664670361,AIMAG,segreteria.aimag@pec.gruppoaimag.it
09758101001,AIMUW S.P.A.,aimuwpec@legalmail.it
01313960328,AINDO S.P.A.,aindo@pec.it
012312830156,AIR BP ITALIA S.P.A.,
01526921000,AIR FIRE SOCIETA' PER AZIONI,comunicazioni@pec.airfire.it
012906300152,AIR LIQUIDE SANITA' SERVICE SPA,
03508601006,AIRBUS ITALIA S.P.A.,airbusitalia@pec.it
02804450100,AITEK SPA,aitek.spa@legalmail.it
04281880288,ALBA SIDERURGICA,albasiderurgica@postapec24.it
00120010210,ALBER SPA,info@pec.alber.it
01876670041,ALBERTENGO PANETTONI S.P.A.,albertengo@pec.it
07435060152,ALCON ITALIA S.P.A.  SOCIETA PER AZIONI CON SOCIO UNICO,alconitaliaspa@alcon-pec.it
06154201005,ALCOTEC,alcotec@pec.alcotec.it
02241700042,ALCYON ITALIA SPA,amministrazionealcyonitalia@legalmail.it
07771720724,ALEGRIA SPA,alegriaspa@legalmail.it
011618450156,ALES GROUPE ITALIA,
01729090975,ALESSANDERX SPA,alessanderx@pec.uipservizi.it
01778450062,ALESSANDRIA AUTO S.P.A.,alessandriaauto@pec.it
00302240825,ALESSI S.P.A.,alessipubblicita@pec.it
05174111004,ALFA GROUP SPA,alfagroupspa@legalmail.it
03610830154,ALFA MACERI,alfamacerispa@pec.it
01884350305,ALFA SISTEMI SPA,alfa.sistemi@pec.it
01425830351,ALFA SOLUTIONS SPA,alfasolutions@pec.gruppoiren.it
00327070785,ALFAGOMMA HYDRAULIC SPA,alfagommahydraulic@legalmail.it
013029691006,ALFANO COSTRUZIONI GENERALI S.P.A,
06278561219,ALFANO ENERGIA S.P.A.,alfanoenergia@postecert.it
03432221202,ALFASIGMA S.P.A,alfasigmaspa@legalmail.it
01766930992,ALFATECH SPA,admin@pec.alfatechspa.com
01724560188,ALGECO S.P.A.,algecospa@pcert.postecert.it
04750550156,ALHOF DI A.HOFMANN S.P.A.,alhof@pec.alhof.net
02967180270,ALILAGUNA S.P.A.,alilaguna@pec.it
04453331219,ALILAURO,alilaurospa@pec.it
01836200269,ALIMENTARI CAZORZI  S.P.A.,alimentaricazorzisrl@sicurezzapostale.it
013029381004,ALITALIA - SOCIETÃ_x0080_ AEREA ITALIANA S.P.A. IN AMMINISTRAZIONE STRAORDINARIA,
04479460158,ALK-ABELLO' S.P.A.,alk-abello@actaliscertymail.it
05619950966,ALKEMY SPA,alkemy@pec.it
03060401209,ALL MEDICAL S.P.A.,allmedicalsrl@pec.it
01189450628,ALL RENT SERVICE SPA,allrentservice@pec.it
00414250068,ALLARA S.P.A.,allaraspa@twtcert.it
00216360164,ALLEGRINI SPA,allegrini@legalmail.it
00890231004,ALLERGAN S.P.A.,amministrazione@pecallergan.com
01513391209,ALLESTIMENTI & PUBBLICITA' S.P.A.,allestimenti@legalmail.it
08560510151,ALLESTIMENTI BENFENATI SPA,allestimentibenfenati@legalmail.it
00890881006,ALLIANCE HEALTHCARE ITALIA DISTRIBUZIONE SPA,ahid@legalmail.it
05032630963,ALLIANZ S.P.A.,allianz.spa@pec.allianz.it
01333250320,ALLIANZ S.P.A.,allianz421srl@legalmail.it
09197520159,ALLIANZ VIVA S.P.A.,allianznext@legalmail.it
01579830025,ALLSYSTEM SPA,allsystemspa@pec.allsystemgroup.it
00572290047,ALMA S.P.A.,posta@alma-spa.legalmail.it
08450891000,ALMAVIVA - THE ITALIAN INNOVATION COMPANY S.P.A.,almaviva@pec.almaviva.it
04914190824,ALMAVIVA CONTACT,almavivacontact@pec.almaviva.it
0000123test,ALMAVIVA TEST,
05481840964,ALMAWAVE S.P.A.,almawave@pec.almaviva.it
06037901003,ALMIRALL,almirall@legalmail.it
015658151004,ALNUS S.P.A.,
09904620961,ALPHA IVD SPA,alphaivdsrl@pec.it
01534430044,ALPITEL,alpitel.amministrazione@pec.it
03268480963,ALTAFORMAZIONE,altaformazione.srl@legalmail.it
01440580031,ALTEA SPA,altea@pec.alteanet.it
08238310018,ALTEN ITALIA S.P.A.,amministrazione@pec.altenitalia.com
011679010014,ALTERNATIVA SPA,
01244670335,ALTHEA ITALIA S.P.A.,altheaitalia@pec.althea-group.com
01138780331,ALTRIMEDIA SPA,altrimedia@pec.it
03632290106,AM GENERAL CONTRACTOR SPA,amgc@legalmail.it
02892250362,AMATI SPA,amatispa@pec.it
00262540453,AMBIENTE S.P.A.,ambientesc@messaggipec.it
01501491219,AMBIENTE SPA,ambiente-spa@messaggipec.it
02488430246,AMG S.P.A.,amgspa@legalmail.it
01677750158,AMISSIMA ASSICURAZIONI S.P.A.,hdiitalia@pec.hdiitalia.it
01973310517,AMM SPA,ammadv@pec.it
02079710261,AMORIM CORK ITALIA S.P.A.,amorimcorkitalia@legalmail.it
011567540965,AMPLIFON ITALIA S.P.A,
05908960965,AMSA AZIENDA MILANESE SERVIZI AMBIENTALI SPA IN FORMA ABBREVIATA AMSA SPA,amsa.spa@pec.a2a.eu
01917540518,AMTRUST ASSICURAZIONI S.P.A.,amtrust.assicurazioni@pec.it
08467340157,ANALYSIS,analysisspa@pec.it
015483121008,ANCI DIGITALE S.P.A.,
01718201005,ANCITEL,ancitelspa@pec.ancitel.it
06295860156,ANDRA S.P.A.,andraspa@legalmail.it
06880780728,ANDRIANI SPA,andrianispa@pec.it
04494350962,ANFATIS SPA,anfatis@legalmail.it
01258011210,ANGELINO SPA,angelinosrl@pec.it
05224640630,ANGELO CARILLO &C SPA,info@pec.angelocarillo.com
01600900698,ANGELO DE CESARIS SPA,angelodecesaris@socmail.it
00906581004,ANGELO FIORI,concessionariafiori@pec.it
01932240367,ANGELO PO GRANDI CUCINE CON SOCIO UNICO,amne@angelopo.postecert.it
01179080856,ANGELO RUSSELLO S.P.A.,angelorussellospa@pec.it
07507200157,ANIMA - SOCIETA' DI GESTIONE DEL RISPARMIO PER AZIONI  O IN FORMA ABBREVIATA ANCHE SOLO ANIMA SGR S.P.A.,anima@pec.animasgr.it
00301170445,ANNABELLA SPA,annabellaspa@pcert.postecert.it
02890871201,ANTARES VISION S.P.A.,antares.vision@legalmail.it
03266500242,ANTHEA S.P.A.,antheabroker@pec.generalpec.it
0CHE193138454,ANYBOTICS AG,
011274970158,AON S.P.A.,
04131800270,APLEONA ITALY S.P.A.,apleona@pec.apleona.it
02133800512,APOTECA NATURA S.P.A.,apotecanatura@pec.it
02369580739,"APPIASTORE SOCIETA' PER AZIONI, IN FORMA ABBREVIATA APPIASTORE SPA",appiastore@pec.it
02043510425,APRA SPA,apraspa@pecraccomandata.it
00802250175,APRICA S.P.A.,aprica@pec.a2a.eu
01613120615,APRILE SPA,info@pec.aprilesrl.it
00862050960,APTACA S.P.A.,aptaca@pec.aptaca.eu
02420190692,AQUILA S.P.A.,aquilaspa@pec.it
02967450343,ARA 1965 S.P.A.,ara@pec.ara1965.it
01326770417,ARBO SPA,amministrazione@pec.arbo.it
07875740016,ARCAS S.P.A.,arcasspa@pec.it
00122680226,ARCESE TRASPORTI S.P.A.,arcesetrasporti@legalmail.it
02104290354,ARCHIMEDE SOCIETA' PER AZIONI,amministrazione.archimede@legalmail.it
00348360264,ARCHIUTTI,archiuttispa@legalmail.it
01849570971,ARCHIVI,archivispa@legalmail.it
04121071213,ARCHIVIA SOLUTION S.P.A.,archiviasolution@pec.it
00828601203,AREA BLU S.P.A.,areablu@cert.areablu.com
02280350352,AREA BROKER & QZ SPA,direzione.areabroker@legalmail.it
012216510151,AREA BROKERS INDUSTRIA S.P.A.,
03320220126,AREA SPA CON SOCIO UNICO,areamcr@legalmail.it
02207240355,AREAJOB SPA AGENZIA PER IL LAVORO,areajob@pec.it
03161590249,ARES LINE SPA,pec@pec.aresline.com
01343690598,ARESCOSMO SPA,info@pec.arescosmo.it
05816611007,ARETI,areti@pec.areti.it
015137521009,ARGO S.P.A.,
04387780283,ARIANNA SPA,ariannaled@pec.it
00366720886,ARIAP SPA,ariap.spa@pec.it
010702670158,ARIATTA INGEGNERIA DEI SISTEMI S.P.A.,
010061420963,ARISK S.P.A.,
04749361004,ARJO ITALIA SPA,amministrazionearjohuntleigh@legalmail.it
02913350241,ARKET SPA,arket@legalmail.it
05275470010,ARMANDO TESTA S.P.A.,armandotesta@pec.it
00511280265,ARMELLIN COSTRUZIONI SPA,armellin@pec.armellin.it
00815630132,ARRIGONI S.P.A.,arrigonispa1936@legalmail.it
03354110243,ARROWELD ITALIA S.P.A.,arroweld@pec.confindustriavicenza.it
02621990163,ARS AEDIFICANDI SPA,ars@pec.arsaedificandi.com
06741281007,ARTELIA ITALIA S.P.A.,artelia.italia@pec.it
01413450436,ARTELITO S.P.A.,artelito@legalmail.it
02367870306,ARTENI SPA,amministrazione@pec.arteni.it
00261240048,ARTESINA S.P.A.,artesinaspa@pec.it
02908570043,ARTEXE,artexe@certimprese.it
03507770968,ARTHUR D. LITTLE S.P.A,arthurdlittle@legalmail.it
01524130208,ARTI GRAFICHE CASTELLO S.P.A.,agcastello@pcert.it
00054020326,ARTI GRAFICHE JULIA SPA,agjulia@legalmail.it
010251421003,ARTIGIANCASSA SPA,
010796440153,ARTURO BERSELLI & C SPA,
01879020517,ARUBA PEC S.P.A.,arubapec@aruba.pec.it
01573850516,ARUBA S.P.A.,aruba@aruba.pec.it
04911190488,ARVAL SERVICE LEASE ITALIA S.P.A.,servizigenerali@arval.legalmail.it
03553690268,ASCO TLC S.P.A.,ascotlc@pec.ascotlc-cert.it
02013520289,ASCOM SERVIZI PADOVA SPA,pratiche.ascompd@legalmail.it
00522760263,ASCOM SERVIZI S.P.A.,ascomtreviso@pec.ascom.tv.it
012319910159,ASE S.P.A.,
06221270017,ASIT,asitpec@pec.asit.it
01719281006,ASKANEWS,agenzia.asca@legalmail.it
03873430247,ASKOLL EVA S.P.A.,askollevasrl@legalmail.it
03091371215,ASM MULTISERVIZI,aziendaspecialeasm@postecert.it
01938630025,ASM VERCELLI S.P.A.,asmvercelli@pec.asmvercelli.it
01423690419,ASPES SPA,aspes@legalmail.it
02397090362,ASSICOOP MODENA & FERRARA SPA - AGENZIA GENERALE UNIPOLSAI,2003@pec.agenzie.unipolassicurazioni.it
08589510158,ASSICURATRICE MILANESE S.P.A.-COMPAGNIA DI ASSICURAZIONI,assicuratricemilanese@legalmail.it
01603091008,ASSING SPA,assingspa@pec.assing.it
011961610158,ASSIST DIGITAL S.P.A.,
010596000017,ASSIST S.P.A.,
03267490153,ASSOLOMBARDA SERVIZI SPA SB,assolombardaservizi@pec.assolombardaservizi.it
01262470667,ASSUT EUROPE,amministrazione@pec.assuteurope.com
00789580966,ASTELLAS PHARMA,astellaspharmaspa@legalmail.it
011854080154,ASTEM S.P.A.,
014584991005,ASTER HOLDING,
01142420056,ASTI SERVIZI PUBBLICI SPA,asp.asti@pec.it
01067490050,ASTIDENTAL,astidental@legalmail.it
02839130834,ASTONE COSTRUZIONI GENERALI S.P.A - ASTONE S.P.A,astone@pec.astonespa.com
00111810032,ASTRA S.P.A.,astra@cert.postecert.it
00735390155,ASTRAZENECA S.P.A.,astrazeneca@pec.astrazeneca.it
015523911004,ASTROLOGO BUILDING SOLUTIONS SPA,
08131200969,ASYSTEL-BDF S.P.A.,asystelbdf@pec.asystelbdf.it
00844980151,ATAG SPA,atag@legalmail.it
09588231218,ATENA S.P.A.,atena.tech@pec.it
02439600988,ATENA SPA,amministrazione@pec.atenateam.it
01280080472,ATIR SPA,atirspa@pec.it
05981720633,ATITECH SPA,atitech@legalmail.it
01294330137,ATL SPA,atl@pec.atliveco.com
014650841001,ATLANTICA DIGITAL S.P.A.,
04014130274,ATLANTICO SPA,atlanticosrl6@legalmail.it
011529040153,ATME SPA,
02479320265,ATON S.P.A. SOCIETA' BENEFIT,atonspa@legalmail.it
010991370155,ATS ADVANCED TECHNOLOGY SOLUTIONS S.P.A.,
02313740363,ATS S.P.A.,atssistemi@pec.it
03311420271,ATTIVA S.P.A.,attivaspa@legalmail.it
00764110276,ATVO S.P.A.,segreteria@pec.atvo.it
012339020153,AUBAY ITALIA S.P.A.,
012034710157,AUDIREVI,
010837470961,AUGUSTAS S.P.A.,
00497121202,AUGUSTO BERNI,augustoberni@legalmail.it
01632671200,AUSILIO SPA,ausilio@legalmail.it
01345390684,AUTELCOM SPA,autelcom@legalmail.it
013996971001,AUTHENTICA S.P.A.,
04409710011,AUTHOS S.P.A.- SOCIETA' BENEFIT,authos@pec.authostorino.it
01564110219,AUTO BRENNER S.P.A.,autobrenner@legalmail.it
01948610355,AUTO IL CORREGGIO,amministrazione@pec.autoilcorreggio.it
00418480166,AUTO INDUSTRIALE BERGAMASCA SPA,autoindustriale@pec.it
02630830400,AUTO S.A.T. SPA,autosatspa@pec.it
08027650962,AUTOGRUP S SPA,autogrups@legalmail.it
00110820800,AUTOLINEE FEDERICO SPA,autolineefederico@pec.it
02194050486,AUTOLINEE TOSCANE  S.P.A.,autolineetoscane@pec.it
010904880159,AUTOLIVRAGHI S.P.A.,
00191440262,AUTOMARCA S.P.A.,automarca@legalmail.it
04636220156,AUTOMOBILISTICA PEREGO,busperego@pec.it
01502210931,AUTONORD FIORETTO,autonordfioretto2@pec.it
01163670936,AUTOPIU' SPA,autopiuspa@pec.it
04216480659,AUTOSALA SPA,autosalaspa@pec.it
02156370484,AUTOSAS,autosas@pec.autosas.it
03575990753,AUTOSAT S.P.A.,autosatspa@arubapec.it
04221880489,AUTOSPURGO 90 SPA,autospurgo90@legalmail.it
06929101001,AUTOSTAR FLAMINIA,autostarflaminia@pec.it
00958170334,AUTOSTAR SPA,autostar@open.legalmail.it
00234350692,AUTOSTAR SPA,autostar@pec.fordautostar.it
01205010356,AUTOSTILE SPA,autostilespa@legalmail.it
01030610933,AUTOSYSTEM SOCIETA' DI SERVIZI SPA,autosystemsds@legalmail.it
06339210723,AUTOTEAM S.P.A.,autoteambarispa@pec.it
00451180103,AUTOVEICOLI ERZELLI SPA,pec@pec.autoveicolierzelli.it
05952391000,AV SET,avsetamministrazione@pec.it
00877141002,AVANA SOCIETA' PER AZIONI,avana_srl@pec.it
012225960157,AVANZI SPA SOCIETA' BENEFIT,
00633140124,AVIATRONIK SPA,aviatronik@legalmail.it
02962831208,AVIATRONIK TRESCAL S.P.A.,tekupms@legalmail.it
013284060152,AVINCIS AVIATION ITALIA S.P.A.,
04160090488,AVIONICA S.P.A.,avionica@legalmail.it
00886991009,AVIS BUDGET ITALIA  S.P.A.,avisautonoleggiospa@legalmail.it
00931311005,AVR,avr@legalmail.it
03721020729,AVR PER L'AMBIENTE S.P.A.,avrpa@pec.avrgroup.it
04113150967,AVVALE S.P.A.,amministrazione@pec.avvale.com
00743840159,AVVENIRE NUOVA EDITORIALE ITALIANA S.P.A. E IN FORMA ABBREVIATA AVVENIRE S.P.A.,direzione.generale@pec.avvenire.it
00902170018,AXA ASSICURAZIONI S.P.A.,axaassicurazioni@axa.legalmail.it
02508980246,AXERA SPA,axera@pec.axera.it
011433481006,AXIANS BRAND ID,
02341030241,AXIANS ITALIA SPA,axiansitalia@pec.it
00818630188,AXITEA SPA,axiteaspa@axitea-pec.it
03118220163,AXL S.P.A. - AGENZIA PER IL LAVORO,axlspa@pec.it
01258691003,AZIENDA CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.,acrafspa@legalmail.it
01041970227,"AZIENDA PER IL TURISMO ALPE CIMBRA DEGLI ALTIPIANI DI FOLGARIA, LAVARONE, LUSERNA E DELLA VIGOLANA - SOCIETA' CONSORTILE PER AZIONI IN SIGLA AZIENDA PER IL TURISMO ALPE CIMBRA - SOCIETA' CONSORTILE PER AZIONI",alpecimbra@pec.alpecimbra.it
00505830315,AZIENDA PROVINCIALE TRASPORTI S.P.A.,segreteria.aptgo@legalmail.it
013417951004,AZIENDA ROMANA ENERGIA E SERVIZI,
01560900803,AZIENDA TRASPORTI PER L'AREA METROPOLITANA SPA - ATAM SPA,atam@pec.it
00458710589,AZIENDE ALBERGHIERE BETTOJA - SOCIETA PER AZIONI,bettojahotelsspa@legalmail.it
00467150033,AZZIMONTI PAOLINO SPA,pec@pec.azzimonti.it
02294240045,AZZURRA,azzurraspa@open.legalmail.it
00281070375,B A P S.P.A.,bap@pec.bapspa.it
06291950969,B&B HOTELS ITALIA,bbhotelsitalia@registerpec.it
07900250155,B&S ITALIA,bsitalia.amministrazione@pec.net
08666990018,B.B.BELL S.P.A.,amministrazione@pec.bbbell.it
01782170136,B.B.F. SPA,bbfspa@pec.it
02067940367,B.BRAUN AVITUM ITALY S.P.A. CON SOCIO UNICO,avitumitaly.pec@legalmail.it
00674840152,B.BRAUN MILANO,bbraun-mi@registerpec.it
01375541214,B.ENERGY SPA UNIPERSONALE,benergyspa@pec.it
01602630202,B.L.M.,blm.spa@pec.it
01800220244,B.R.PNEUMATICI,brpneumatici@pec.confindustriavicenza.it
03320090172,B.T.E. S.P.A. UNIPERSONALE,btespa@legalmail.it
03277970244,B.T.V.,btvspa@legalmail.it
02650080357,BACCHI S.P.A.,bacchispa@pec.it
06990310960,BAGLIETTO SPA,baglietto@pec.it
01634020356,BAIAUTO S.P.A.,baiauto@legalmail.it
01213510017,BAKER TILLY REVISA,bakertillyrevisa@pec.it
05641580963,BALANCE SPA,balance@pec.net
07461160967,BALCONI S.P.A. - INDUSTRIA DOLCIARIA,balconispa@legalmail.it
02017760352,BALDI FINANCE SPA,baldifinancespa@legalmail.it
01074300938,BALDISSAR  S.P.A.,baldissarsrl@legalmail.it
00327010286,BALLAN SPA,ballanspa@cert.neispa.com
010994160157,BANCA ALETTI S.P.A.,
00204500045,BANCA CASSA DI RISPARMIO DI SAVIGLIANO SPA,segreteria.bancacrs@legalmail.it
00915101000,BANCA DEL MEZZOGIORNO - MEDIOCREDITO CENTRALE S.P.A.,bdm-mcc@postacertificata.mcc.it
03179070218,BANCA DI CIVIDALE S.P.A,
00499741205,BANCA DI IMOLA SPA,bancadiimola@pec.bancadiimola.it
02124090164,BANCA MEDIOLANUM,bancamediolanum@pec.mediolanum.it
01483500524,BANCA MONTE DEI PASCHI DI SIENA S.P.A.,mpfiduciaria@postacert.gruppo.mps.it
09339391006,BANCA NAZIONALE DEL LAVORO SPA,bnl@pec.bnlmail.com
08301100015,BANCA PATRIMONI SELLA & C. S.P.A. IN SIGLA BPS S.P.A.,segreteria@pec.bancapatrimoni.it
00129730214,BANCA POPOLARE DELL'ALTO ADIGE,segreteriadirezione@pec.volksbank.it
00053810149,BANCA POPOLARE DI SONDRIO - SOCIETA' PER AZIONI,postacertificata@pec.popso.it
02675650028,BANCA SELLA SPA,sellasgr@pec.sellasgr.it
09722490969,BANCO BPM S.P.A.,segreteria@pec.bancobpmspa.it
